Unnamed: 0,DATETIMEDATA,PM25,O3,WS,Temperature,Relative Humidity,Wind Direction,Atmospheric Pressure,RAIN
301,2024-01-13 13:00:00,21.9,31.0,0,32.0,48.0,168.0,758.0,0
302,2024-01-13 14:00:00,15.9,6.0,1,32.0,50.0,156.0,757.0,0
303,2024-01-13 15:00:00,17.7,1.0,1,31.0,55.0,146.0,757.0,0
304,2024-01-13 16:00:00,22.6,1.0,1,31.0,54.0,142.0,757.0,0
305,2024-01-13 17:00:00,22.1,1.0,1,30.0,60.0,144.0,758.0,0
306,2024-01-13 18:00:00,21.2,9.0,1,28.0,67.0,121.0,758.0,0
307,2024-01-13 19:00:00,24.7,3.0,1,28.0,71.0,115.0,758.0,0
308,2024-01-13 20:00:00,24.3,1.0,1,27.0,74.0,113.0,759.0,0
309,2024-01-13 21:00:00,24.8,1.0,1,27.0,75.0,109.0,759.0,0
310,2024-01-13 22:00:00,27.4,11.03867403314917,1,27.0,75.0,111.0,759.0,0
311,2024-01-13 23:00:00,23.7,4.0,1,26.0,78.0,108.0,759.0,0
312,2024-01-14 00:00:00,28.3,9.0,1,26.0,79.0,109.0,759.0,0
313,2024-01-14 01:00:00,23.5,11.03867403314917,1,26.0,82.0,107.0,759.0,0
314,2024-01-14 02:00:00,22.1,140.0,0,25.0,85.0,107.0,758.0,0
